sa2_main,ERP_30_june_2017,erp_30_june_2018,erp_2017_2018_change_no,erp_2017_2018_change_percent,erp_2017_2018_change_component_natural_increase,erp_2017_2018_change_component_net_internal_migration,erp_2017_2018_change_component_net_overseas_migration,area_km2,population_density_persons_per_km2
103021066,3650,3633,-17,-0.5,5,-30,8,3294.1,1.1
103021067,11236,11224,-12,-0.1,33,-71,26,234.8,47.8
103021068,3419,3411,-8,-0.2,8,-22,6,5418.2,0.6
103021069,5981,5972,-9,-0.2,6,-23,8,8317.5,0.7
103031070,13013,12973,-40,-0.3,-12,-56,28,120,108.1
103031071,8492,8571,79,0.9,11,52,16,2514.1,3.4
103031072,12212,12410,198,1.6,77,81,40,65.9,188.3
103031073,3491,3492,1,0,4,-7,4,2852.1,1.2
103031074,10554,10601,47,0.4,41,-14,20,8043.9,1.3
103031075,0,0,0,0,0,0,0,2448.7,0
103041076,7362,7352,-10,-0.1,26,-46,10,1642.7,4.5
103041077,19165,19021,-144,-0.8,35,-255,76,45.2,420.4
103041078,20798,21472,674,3.2,263,307,104,99.5,215.8
103041079,11882,11973,91,0.8,42,33,16,4480.1,2.7
104011080,19074,19078,4,0,17,-42,29,106.3,179.6
104011081,15609,15644,35,0.2,40,-37,32,8445.9,1.9
104011082,16583,16630,47,0.3,-59,61,45,711,23.4
104021083,6019,6035,16,0.3,-3,1,18,1001,6
104021084,18054,18287,233,1.3,103,-11,141,25.7,712.4
104021085,10614,10686,72,0.7,-78,54,96,33.7,317.1
